"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_my_user","clinicalcode.tests.unit_tests","Wed Jun 17 16:47:02 UTC 2026","broken","Wed Jun 17 16:47:02 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_publish_request_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify if a user can access unpublished phenotypes with group/world access.

        Args:
            generate_user (dict): Dictionary of generated users.
            user_type (str): Type of user to test.
            live_server (LiveServer): Live server instance for testing.
            generic_entity (GenericEntity): The generic entity fixture.
        ","0","test_user_with_access[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:45 UTC 2026","broken","Wed Jun 17 16:49:45 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_publish_request_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_users_to_edit[super_user]","clinicalcode.tests.unit_tests","Wed Jun 17 16:49:43 UTC 2026","broken","Wed Jun 17 16:49:43 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_publish_request_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_btn_presence[owner_user-ANY]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:57 UTC 2026","skipped","Wed Jun 17 16:49:57 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_publish_approve_get[None-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can't create phenotypes.
        ","0","test_non_authenticated_user_create_phenos","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:47 UTC 2026","broken","Wed Jun 17 16:49:47 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_publish_approve_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test if the publishing of a GenericEntity with version 2 reflects in the home page statistics.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.
            user_type (str): Type of user for the test.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.

       Returns:
           None
       ","0","test_entity_published[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:57 UTC 2026","skipped","Wed Jun 17 16:49:57 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_approve_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Wed Jun 17 16:50:11 UTC 2026","skipped","Wed Jun 17 16:50:11 UTC 2026","TestPublishing","test_publishing","",""
"
        Test the API endpoint related to template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            live_server: Pytest fixture providing the live server URL.
            template_v2 (Template): An instance of the Template model with version 2.


        Returns:
            None
        ","0","test_template_api[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:52 UTC 2026","broken","Wed Jun 17 16:49:52 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_user_not_allowed_to_create","clinicalcode.tests.unit_tests","Wed Jun 17 16:49:41 UTC 2026","broken","Wed Jun 17 16:49:41 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_tags_filter[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:50:02 UTC 2026","broken","Wed Jun 17 16:50:02 UTC 2026","TestSearchFilters","test_search_filters","",""
"
        Test whether API data is updated correctly after modifying the template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            template_v2 (Template): An instance of the Template model with version 2.
            live_server: Pytest fixture providing the live server URL.

        Returns:
            None
        ","0","test_api_data_updated[super_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:49:55 UTC 2026","broken","Wed Jun 17 16:49:55 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_moderation_component_presence[moderator_user]","clinicalcode.tests.functional_tests","Wed Jun 17 16:50:08 UTC 2026","broken","Wed Jun 17 16:50:08 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_genereic_entity[super_user]","clinicalcode.tests.unit_tests","Wed Jun 17 16:49:44 UTC 2026","broken","Wed Jun 17 16:49:44 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
