"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_publish_btn_presence[owner_user-ANY]","clinicalcode.tests.functional_tests","Fri May 15 11:28:48 UTC 2026","skipped","Fri May 15 11:28:48 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_publish_request_get[None-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_moderation_redirect[None]","clinicalcode.tests.functional_tests","Fri May 15 11:28:54 UTC 2026","broken","Fri May 15 11:28:54 UTC 2026","TestModerationComponents","test_moderation_components","",""
"
        Test to verify if a user can access unpublished phenotypes with group/world access.

        Args:
            generate_user (dict): Dictionary of generated users.
            user_type (str): Type of user to test.
            live_server (LiveServer): Live server instance for testing.
            generic_entity (GenericEntity): The generic entity fixture.
        ","0","test_user_with_access[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:29:05 UTC 2026","broken","Fri May 15 11:29:05 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_users_to_edit[owner_user]","clinicalcode.tests.unit_tests","Fri May 15 11:29:14 UTC 2026","broken","Fri May 15 11:29:14 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"
        Test whether API data is updated correctly after modifying the template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            template_v2 (Template): An instance of the Template model with version 2.
            live_server: Pytest fixture providing the live server URL.

        Returns:
            None
        ","0","test_api_data_updated[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:52 UTC 2026","broken","Fri May 15 11:28:52 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_approve_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_moderation_redirect[normal_user]","clinicalcode.tests.functional_tests","Fri May 15 11:29:01 UTC 2026","broken","Fri May 15 11:29:01 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_request_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can't create phenotypes.
        ","0","test_non_authenticated_user_create_phenos","clinicalcode.tests.functional_tests","Fri May 15 11:29:10 UTC 2026","broken","Fri May 15 11:29:10 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
