"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test to verify if a user can view phenotypes without group/world access.

        Args:
            generate_user (dict): Dictionary of generated users.
            user_type (str): Type of user to test.
            live_server (LiveServer): Live server instance for testing.
            generic_entity (GenericEntity): The generic entity fixture.
        ","0","test_user_without_access[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:29:08 UTC 2026","broken","Fri May 15 11:29:08 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_moderation_component_presence[moderator_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:58 UTC 2026","broken","Fri May 15 11:28:58 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test if an entity with template version 1 is updated with fields from
        template version 2 on edit.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_entity (GenericEntity): An instance of the GenericEntity model.
            user_type (str): Type of user for the test.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            template_v2 (Template): An instance of the Template model with version 2.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","0","test_edit_phenotype[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:50 UTC 2026","skipped","Fri May 15 11:28:50 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_collection_redirects[None]","clinicalcode.tests.functional_tests","Fri May 15 11:29:02 UTC 2026","broken","Fri May 15 11:29:02 UTC 2026","TestCollectionComponents","test_collection_components","",""
"","0","test_publish_request_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_request_get[owner_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can view published phenotypes.
        ","0","test_non_authenticated_user_view_published_phenos","clinicalcode.tests.functional_tests","Fri May 15 11:29:07 UTC 2026","broken","Fri May 15 11:29:07 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"
        Test exporting entity data in JSON format is reflected for entity created using template version 2.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.
            user_type (str): Type of user for the test.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","0","test_export_json[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:53 UTC 2026","broken","Fri May 15 11:28:53 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"
        Test if the publishing of a GenericEntity with version 2 reflects in the home page statistics.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.
            user_type (str): Type of user for the test.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.

       Returns:
           None
       ","0","test_entity_published[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:50 UTC 2026","skipped","Fri May 15 11:28:50 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_request_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_genereic_entity[super_user]","clinicalcode.tests.unit_tests","Fri May 15 11:29:12 UTC 2026","broken","Fri May 15 11:29:12 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_moderation_component_presence[normal_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:56 UTC 2026","broken","Fri May 15 11:28:56 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_tags_filter[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:26:07 UTC 2026","broken","Fri May 15 11:26:07 UTC 2026","TestSearchFilters","test_search_filters","",""
"","0","test_publish_request_post[moderator_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_request_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_btn_presence[moderator_user-REQUESTED]","clinicalcode.tests.functional_tests","Fri May 15 11:28:50 UTC 2026","skipped","Fri May 15 11:28:50 UTC 2026","TestDetailComponents","test_detail_components","",""
"
        Test the API endpoint related to template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            live_server: Pytest fixture providing the live server URL.
            template_v2 (Template): An instance of the Template model with version 2.


        Returns:
            None
        ","0","test_template_api[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:50 UTC 2026","broken","Fri May 15 11:28:50 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_user_not_allowed_to_create","clinicalcode.tests.unit_tests","Fri May 15 11:29:15 UTC 2026","broken","Fri May 15 11:29:15 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_moderation_component_presence[None]","clinicalcode.tests.functional_tests","Fri May 15 11:28:57 UTC 2026","broken","Fri May 15 11:28:57 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_get[owner_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_anonymous_publication_presence","clinicalcode.tests.functional_tests","Fri May 15 11:28:48 UTC 2026","broken","Fri May 15 11:28:48 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_publish_approve_post[moderator_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_request_post[None-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_collection_redirects[normal_user]","clinicalcode.tests.functional_tests","Fri May 15 11:29:04 UTC 2026","broken","Fri May 15 11:29:04 UTC 2026","TestCollectionComponents","test_collection_components","",""
"","0","test_publish_approve_post[None-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_get[None-ANY]","clinicalcode.tests.unit_tests","Fri May 15 11:29:05 UTC 2026","skipped","Fri May 15 11:29:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can't update phenotypes.
        ","0","test_auth_user_edit","clinicalcode.tests.functional_tests","Fri May 15 11:29:09 UTC 2026","broken","Fri May 15 11:29:09 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_users_to_edit[super_user]","clinicalcode.tests.unit_tests","Fri May 15 11:29:13 UTC 2026","broken","Fri May 15 11:29:13 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_moderation_component_presence[super_user]","clinicalcode.tests.functional_tests","Fri May 15 11:28:59 UTC 2026","broken","Fri May 15 11:28:59 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_my_user","clinicalcode.tests.unit_tests","Fri May 15 11:29:16 UTC 2026","broken","Fri May 15 11:29:16 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
