"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_publish_approve_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 13:43:09 UTC 2026","skipped","Tue Mar 31 13:43:09 UTC 2026","TestPublishing","test_publishing","",""
"","1049","test_anonymous_publication_presence","clinicalcode.tests.functional_tests","Tue Mar 31 13:42:15 UTC 2026","passed","Tue Mar 31 13:42:16 UTC 2026","TestDetailComponents","test_detail_components","",""
"","7048","test_moderation_redirect[normal_user]","clinicalcode.tests.functional_tests","Tue Mar 31 13:40:58 UTC 2026","passed","Tue Mar 31 13:41:05 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","846","test_moderation_redirect[None]","clinicalcode.tests.functional_tests","Tue Mar 31 13:40:42 UTC 2026","passed","Tue Mar 31 13:40:43 UTC 2026","TestModerationComponents","test_moderation_components","",""
"
        Test to verify that non-authenticated users can view published phenotypes.
        ","420","test_non_authenticated_user_view_published_phenos","clinicalcode.tests.functional_tests","Tue Mar 31 13:44:26 UTC 2026","passed","Tue Mar 31 13:44:26 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_publish_btn_presence[owner_user-ANY]","clinicalcode.tests.functional_tests","Tue Mar 31 13:42:15 UTC 2026","skipped","Tue Mar 31 13:42:15 UTC 2026","TestDetailComponents","test_detail_components","",""
"","1865","test_collection_redirects[None]","clinicalcode.tests.functional_tests","Tue Mar 31 13:42:10 UTC 2026","passed","Tue Mar 31 13:42:12 UTC 2026","TestCollectionComponents","test_collection_components","",""
"","5200","test_moderation_component_presence[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 13:40:06 UTC 2026","passed","Tue Mar 31 13:40:11 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_request_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 13:43:09 UTC 2026","skipped","Tue Mar 31 13:43:09 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 13:43:09 UTC 2026","skipped","Tue Mar 31 13:43:09 UTC 2026","TestPublishing","test_publishing","",""
"","8","test_users_to_edit[owner_user]","clinicalcode.tests.unit_tests","Tue Mar 31 13:44:00 UTC 2026","passed","Tue Mar 31 13:44:00 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_publish_request_get[None-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 13:43:09 UTC 2026","skipped","Tue Mar 31 13:43:09 UTC 2026","TestPublishing","test_publishing","",""
"","1","test_user_not_allowed_to_create","clinicalcode.tests.unit_tests","Tue Mar 31 13:44:01 UTC 2026","passed","Tue Mar 31 13:44:01 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
