"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test to verify if a user can view phenotypes without group/world access.

        Args:
            generate_user (dict): Dictionary of generated users.
            user_type (str): Type of user to test.
            live_server (LiveServer): Live server instance for testing.
            generic_entity (GenericEntity): The generic entity fixture.
        ","2226","test_user_without_access[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:07 UTC 2026","passed","Tue Mar 31 19:28:10 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_publish_approve_post[None-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can't update phenotypes.
        ","212","test_auth_user_edit","clinicalcode.tests.functional_tests","Tue Mar 31 19:27:56 UTC 2026","passed","Tue Mar 31 19:27:56 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","1780","test_collection_redirects[normal_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:47 UTC 2026","passed","Tue Mar 31 19:28:48 UTC 2026","TestCollectionComponents","test_collection_components","",""
"","0","test_publish_request_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can't create phenotypes.
        ","166","test_non_authenticated_user_create_phenos","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:03 UTC 2026","passed","Tue Mar 31 19:28:04 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","2","test_users_to_edit[owner_user]","clinicalcode.tests.unit_tests","Tue Mar 31 19:28:33 UTC 2026","passed","Tue Mar 31 19:28:33 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"
        Test to verify if a user can access unpublished phenotypes with group/world access.

        Args:
            generate_user (dict): Dictionary of generated users.
            user_type (str): Type of user to test.
            live_server (LiveServer): Live server instance for testing.
            generic_entity (GenericEntity): The generic entity fixture.
        ","2430","test_user_with_access[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:00 UTC 2026","passed","Tue Mar 31 19:28:02 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"
        Test if the publishing of a GenericEntity with version 2 reflects in the home page statistics.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.
            user_type (str): Type of user for the test.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.

       Returns:
           None
       ","0","test_entity_published[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:59 UTC 2026","skipped","Tue Mar 31 19:28:59 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_request_post[None-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_request_get[None-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","1","test_my_user","clinicalcode.tests.unit_tests","Tue Mar 31 19:28:26 UTC 2026","passed","Tue Mar 31 19:28:26 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","0","test_publish_btn_presence[moderator_user-REQUESTED]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:38 UTC 2026","skipped","Tue Mar 31 19:28:38 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_publish_btn_presence[owner_user-ANY]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:38 UTC 2026","skipped","Tue Mar 31 19:28:38 UTC 2026","TestDetailComponents","test_detail_components","",""
"
        Test if an entity with template version 1 is updated with fields from
        template version 2 on edit.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_entity (GenericEntity): An instance of the GenericEntity model.
            user_type (str): Type of user for the test.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            template_v2 (Template): An instance of the Template model with version 2.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","0","test_edit_phenotype[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:59 UTC 2026","skipped","Tue Mar 31 19:28:59 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_approve_get[owner_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","1198","test_moderation_component_presence[moderator_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:29 UTC 2026","passed","Tue Mar 31 19:29:30 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","692","test_collection_redirects[None]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:42 UTC 2026","passed","Tue Mar 31 19:28:42 UTC 2026","TestCollectionComponents","test_collection_components","",""
"","0","test_publish_request_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","431","test_anonymous_publication_presence","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:37 UTC 2026","passed","Tue Mar 31 19:28:38 UTC 2026","TestDetailComponents","test_detail_components","",""
"","0","test_user_not_allowed_to_create","clinicalcode.tests.unit_tests","Tue Mar 31 19:28:26 UTC 2026","passed","Tue Mar 31 19:28:26 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","7099","test_tags_filter[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:15 UTC 2026","passed","Tue Mar 31 19:28:22 UTC 2026","TestSearchFilters","test_search_filters","",""
"","0","test_publish_request_get[owner_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_request_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
