"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_publish_request_post[moderator_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_publish_approve_post[owner_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","0","test_genereic_entity[super_user]","clinicalcode.tests.unit_tests","Tue Mar 31 19:28:36 UTC 2026","passed","Tue Mar 31 19:28:36 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"","4","test_users_to_edit[super_user]","clinicalcode.tests.unit_tests","Tue Mar 31 19:28:30 UTC 2026","passed","Tue Mar 31 19:28:30 UTC 2026","TestReadOnlyPermissions","test_read_only_permissions","",""
"
        Test the API endpoint related to template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            live_server: Pytest fixture providing the live server URL.
            template_v2 (Template): An instance of the Template model with version 2.


        Returns:
            None
        ","1140","test_template_api[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:53 UTC 2026","passed","Tue Mar 31 19:28:54 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"
        Test whether API data is updated correctly after modifying the template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            template_v2 (Template): An instance of the Template model with version 2.
            live_server: Pytest fixture providing the live server URL.

        Returns:
            None
        ","58","test_api_data_updated[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:58 UTC 2026","passed","Tue Mar 31 19:28:58 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_request_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","6626","test_moderation_redirect[normal_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:09 UTC 2026","passed","Tue Mar 31 19:29:16 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_get[None-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test exporting entity data in JSON format is reflected for entity created using template version 2.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.
            user_type (str): Type of user for the test.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        ","1627","test_export_json[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:03 UTC 2026","passed","Tue Mar 31 19:29:04 UTC 2026","TestTemplateVersioning","test_template_versions","",""
"","0","test_publish_approve_get[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"
        Test to verify that non-authenticated users can view published phenotypes.
        ","301","test_non_authenticated_user_view_published_phenos","clinicalcode.tests.functional_tests","Tue Mar 31 19:28:11 UTC 2026","passed","Tue Mar 31 19:28:11 UTC 2026","TestAuthPhenoAccess","test_auth_user","",""
"","0","test_publish_approve_get[moderator_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","233","test_moderation_component_presence[None]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:24 UTC 2026","passed","Tue Mar 31 19:29:25 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","1521","test_moderation_component_presence[normal_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:34 UTC 2026","passed","Tue Mar 31 19:29:36 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_post[moderator_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
"","503","test_moderation_redirect[None]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:20 UTC 2026","passed","Tue Mar 31 19:29:20 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","1610","test_moderation_component_presence[super_user]","clinicalcode.tests.functional_tests","Tue Mar 31 19:29:40 UTC 2026","passed","Tue Mar 31 19:29:42 UTC 2026","TestModerationComponents","test_moderation_components","",""
"","0","test_publish_approve_post[normal_user-ANY]","clinicalcode.tests.unit_tests","Tue Mar 31 19:27:05 UTC 2026","skipped","Tue Mar 31 19:27:05 UTC 2026","TestPublishing","test_publishing","",""
